dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.380313,18.416770,10.986660,12.597808,24.694049,176.136490,3.174662
0.020000,10.117241,18.400026,11.250265,13.180236,29.121392,221.367167,3.237002
0.020000,9.842259,18.363528,11.527658,13.869643,34.470353,267.448057,3.311703
0.020000,9.555403,18.301174,11.821212,14.677734,40.404508,296.707751,3.401401
0.020000,9.258642,18.205336,12.133066,15.592662,45.746405,267.094805,3.508477
0.020000,8.957578,18.067737,12.464083,16.550886,47.911231,108.241305,3.633905
0.020000,8.663012,17.882038,12.812298,17.410739,42.992632,-245.929954,3.775519
0.020000,8.390271,17.647915,13.171744,17.972277,28.076893,-745.786935,3.926702
0.020000,8.154558,17.373645,13.533386,18.082101,5.491223,-1129.283510,4.077413
0.020000,7.964799,17.073587,13.888411,17.751264,-16.541880,-1101.655155,4.217858
0.020000,7.821412,16.762097,14.231319,17.145402,-30.293060,-687.558985,4.341935
0.020000,7.718997,16.449222,14.560529,16.460511,-34.244589,-197.576430,4.447905
0.020000,7.650248,16.140215,14.877091,15.828103,-31.620393,131.209789,4.536947
0.020000,7.608365,15.837016,15.183170,15.303938,-26.208224,270.608427,4.611468
0.020000,7.587866,15.539804,15.481088,14.895893,-20.402254,290.298529,4.674049
0.020000,7.584666,15.250277,15.770632,14.477230,-20.933137,-26.544161,4.729488
0.020000,7.600617,14.940518,16.080802,15.508477,51.562319,3624.772816,4.799827
0.020000,7.642534,14.617241,16.406785,16.299160,39.534161,-601.407916,4.884778
0.020000,7.718597,14.281202,16.751325,17.226999,46.391966,342.890268,4.987395
0.020000,7.838704,13.936378,17.116468,18.257147,51.507405,255.771959,5.109964
0.020000,8.012481,13.592356,17.501889,19.271063,50.695757,-40.582426,5.252148
0.020000,8.244708,13.265418,17.902911,20.051060,38.999887,-584.793484,5.408766
0.020000,8.530243,12.974996,18.310189,20.363902,15.642096,-1167.889569,5.569430
0.020000,8.854017,12.735621,18.712841,20.132643,-11.562970,-1360.253282,5.722033
0.020000,9.197855,12.551301,19.102968,19.506320,-31.316160,-987.659528,5.857794
0.020000,9.546760,12.417402,19.476684,18.685802,-41.025879,-485.485953,5.973146
0.020000,9.890833,12.325445,19.832833,17.807450,-43.917625,-144.587258,6.068549
0.020000,10.225071,12.266492,20.172231,16.969903,-41.877324,102.015035,6.146647
0.020000,10.547807,12.232899,20.496710,16.223961,-37.297100,229.011193,6.210666
0.020000,10.810833,12.218082,20.760153,13.172144,-152.590846,-5764.687281,6.214225
0.020000,11.004828,12.197836,20.955202,9.752457,-170.984341,-919.674757,6.141011
0.020000,11.180768,12.165068,21.134167,8.948251,-40.210321,6538.700982,6.052939
0.020000,11.334824,12.120691,21.294487,8.015991,-46.613015,-320.134702,5.947182
0.020000,11.464065,12.066739,21.434538,7.002557,-50.671706,-202.934539,5.821945
0.020000,11.568287,12.005681,21.555328,6.039489,-48.153371,125.916738,5.678338
0.020000,11.651342,11.938374,21.662231,5.345171,-34.715891,671.874029,5.522291
0.020000,11.719749,11.862002,21.764760,5.126429,-10.937116,1188.938734,5.364306
0.020000,11.778734,11.771036,21.873176,5.420815,14.719299,1282.820767,5.215718
0.020000,11.829792,11.661055,21.994431,6.062758,32.097156,868.892812,5.084201
0.020000,11.871822,11.531279,22.130844,6.820630,37.893604,289.822405,4.972312
0.020000,11.903381,11.384031,22.281436,7.529601,35.448563,-122.252018,4.878972
0.020000,11.923824,11.222962,22.443797,8.118052,29.422539,-301.301223,4.801520
0.020000,11.933899,11.050152,22.616900,8.655156,26.855179,-128.367993,4.746607
0.020000,11.935515,10.870882,22.796178,8.963883,15.436365,-570.940710,4.693623
0.020000,11.927274,10.706860,22.960407,8.211438,-37.622276,-2652.932017,4.626919
0.020000,11.909234,10.563727,23.104672,7.213273,-49.908211,-614.296771,4.541069
0.020000,11.883313,10.449179,23.222116,5.872192,-67.054057,-857.292299,4.428501
0.020000,11.855114,10.371664,23.304601,4.124230,-87.398090,-1017.201671,4.280214
0.020000,11.834343,10.334448,23.347221,2.131027,-99.660164,-613.103691,4.090762
0.020000,11.826782,10.325467,23.358962,0.587030,-77.199876,1123.014428,3.870044
0.020000,11.819128,10.320373,23.368155,0.459684,-6.367283,3541.629642,3.649407
0.020000,11.785832,10.306506,23.404224,1.803416,67.186591,3677.693694,3.461399
0.020000,11.714501,10.289179,23.477629,3.670275,93.342953,1307.818099,3.317559
0.020000,11.609035,10.276635,23.583838,5.310442,82.008350,-566.730175,3.212850
0.020000,11.478467,10.272620,23.714468,6.531503,61.053068,-1047.764061,3.138005
0.020000,11.330618,10.277355,23.862393,7.396241,43.236888,-890.809014,3.085154
0.020000,11.170887,10.289523,24.022587,8.009695,30.672721,-628.208352,3.048749
0.020000,11.002680,10.307368,24.191738,8.457549,22.392675,-414.002293,3.025135
0.020000,10.828014,10.329114,24.367752,8.800729,17.159024,-261.682540,3.012001
0.020000,10.647955,10.353082,24.549399,9.082315,14.079266,-153.987946,3.007986
0.020000,10.462894,10.377665,24.736085,9.334336,12.601084,-73.909085,3.012440
0.020000,10.272691,10.401258,24.927746,9.583053,12.435807,-8.263858,3.025290
0.020000,10.096261,10.420416,25.105213,8.873338,-35.485705,-2396.075597,3.029149
0.020000,9.993423,10.435917,25.209213,5.199976,-183.668121,-7409.120798,2.950961
0.020000,9.906587,10.456610,25.298481,4.463423,-36.827633,7342.024429,2.859398
0.020000,9.836848,10.480658,25.372250,3.688436,-38.749387,-96.087701,2.753611
0.020000,9.783429,10.506085,25.431411,2.958069,-36.518324,111.553121,2.634583
0.020000,9.743006,10.531926,25.479388,2.398837,-27.961614,427.835506,2.506092
0.020000,9.710343,10.559483,25.522123,2.136749,-13.104393,742.861066,2.374706
0.020000,9.680403,10.592357,25.566588,2.223236,4.324345,871.436895,2.248128
0.020000,9.650354,10.634741,25.618543,2.597739,18.725169,720.041187,2.132723
0.020000,9.619863,10.689412,25.681141,3.129942,26.610131,394.248115,2.031976
0.020000,9.589995,10.756987,25.755023,3.694079,28.206854,79.836140,1.946590
0.020000,9.562037,10.836414,25.839227,4.210193,25.805685,-120.058454,1.875503
0.020000,9.536902,10.925827,25.932106,4.643962,21.688447,-205.861912,1.816896
0.020000,9.515024,11.023199,26.031905,4.989949,17.299378,-219.453453,1.768830
0.020000,9.496453,11.126672,26.137031,5.256320,13.318525,-199.042604,1.729545
