dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.597365,16.608703,4.993514,8.092773,-8.077374,-826.304839,3.122310
0.020000,10.440157,16.607760,5.150724,7.860505,-11.613385,-176.800555,3.174662
0.020000,10.289669,16.598258,5.301512,7.539398,-16.055365,-222.098982,3.237002
0.020000,10.148676,16.579654,5.443727,7.110762,-21.431807,-268.822122,3.311703
0.020000,10.020385,16.551919,5.574982,6.562759,-27.400146,-298.416961,3.401401
0.020000,9.907904,16.515792,5.693122,5.906989,-32.788483,-269.416847,3.508477
0.020000,9.813102,16.472689,5.797263,5.207052,-34.996857,-110.418671,3.633905
0.020000,9.735099,16.423707,5.889371,4.605373,-30.083979,245.643892,3.775519
0.020000,9.669764,16.367681,5.975437,4.303310,-15.103101,749.043907,3.926702
0.020000,9.611763,16.300028,6.064550,4.455667,7.617837,1136.046900,4.077413
0.020000,9.557945,16.214526,6.165579,5.051447,29.788965,1108.556367,4.217858
0.020000,9.508627,16.106807,6.284052,5.923618,43.608574,690.980465,4.341935
0.020000,9.466059,15.976068,6.421546,6.874701,47.554147,197.278667,4.447905
0.020000,9.432464,15.824292,6.576996,7.772514,44.890673,-133.173738,4.536947
0.020000,9.409155,15.654659,6.748223,8.561351,39.441848,-272.441230,4.611468
0.020000,9.396536,15.470426,6.932888,9.233239,33.594402,-292.372319,4.674049
0.020000,9.394401,15.281225,7.122100,9.460616,11.368809,-1111.279639,4.729488
0.020000,9.403703,15.098579,7.304983,9.144158,-15.822858,-1359.583352,4.799827
0.020000,9.425705,14.927722,7.477251,8.613412,-26.537320,-535.723100,4.884778
0.020000,9.460583,14.772712,7.636137,7.944259,-33.457667,-346.017363,4.987395
0.020000,9.507529,14.637180,7.779569,7.171610,-38.632454,-258.739343,5.109964
0.020000,9.565158,14.522568,7.907853,6.414238,-37.868564,38.194520,5.252148
0.020000,9.633288,14.426429,8.025686,5.891619,-26.130941,586.881119,5.408766
0.020000,9.715209,14.343191,8.142474,5.839425,-2.609711,1176.061548,5.569430
0.020000,9.817231,14.268044,8.269185,6.335529,24.805163,1370.743684,5.722033
0.020000,9.944800,14.199989,8.413772,7.229366,44.691884,994.336047,5.857794
0.020000,10.098984,14.141104,8.578817,8.252254,51.144376,322.624603,5.973146
0.020000,10.276348,14.093913,8.762352,9.176749,46.224763,-245.980658,6.068549
0.020000,10.471439,14.059646,8.960430,9.903862,36.355659,-493.455202,6.146647
0.020000,10.678952,14.038141,9.169054,10.431227,26.368236,-499.371152,6.210666
0.020000,10.935553,14.023780,9.426056,12.850115,120.944404,4728.808416,6.214225
0.020000,11.261298,13.989573,9.753593,16.376820,176.335257,2769.542647,6.141011
0.020000,11.593841,13.927302,10.091916,16.916184,26.968174,-7468.354142,6.052939
0.020000,11.931611,13.829476,10.443567,17.582529,33.317289,317.455724,5.947182
0.020000,12.269622,13.687596,10.810148,18.329047,37.325896,200.430357,5.821945
0.020000,12.597519,13.494567,11.190643,19.024762,34.785746,-127.007506,5.678338
0.020000,12.899463,13.249211,11.579705,19.453109,21.417323,-668.421165,5.522291
0.020000,13.158557,12.960150,11.967889,19.409167,-2.197104,-1180.721351,5.364306
0.020000,13.364261,12.644080,12.345002,18.855676,-27.674531,-1273.871319,5.215718
0.020000,13.516116,12.318635,12.704132,17.956479,-44.959828,-864.264871,5.084201
0.020000,13.621024,11.996461,13.042957,16.941234,-50.762287,-290.122926,4.972312
0.020000,13.688326,11.684154,13.362433,15.973801,-48.371630,119.532828,4.878972
0.020000,13.726639,11.384075,13.664948,15.125754,-42.402367,298.463176,4.801520
0.020000,13.742839,11.112075,13.937429,13.624070,-75.084201,-1634.091709,4.746607
0.020000,13.745196,10.836917,14.212598,13.758426,6.717798,4090.099929,4.693623
0.020000,13.730667,10.552347,14.497538,14.247029,24.430145,885.617386,4.626919
0.020000,13.692737,10.255152,14.797144,14.980296,36.663368,611.661153,4.541069
0.020000,13.620865,9.942215,15.118228,16.054190,53.694717,851.567408,4.428501
0.020000,13.498697,9.613551,15.468863,17.531771,73.879038,1009.216053,4.280214
0.020000,13.305750,9.280379,15.853873,19.250489,85.935914,602.843811,4.090762
0.020000,13.031726,8.974834,16.264296,20.521145,63.532790,-1120.156209,3.870044
0.020000,12.699274,8.738778,16.672030,20.386678,-6.723340,-3512.806498,3.649407
0.020000,12.354864,8.588280,17.047886,18.792809,-79.693444,-3648.505177,3.461399
0.020000,12.031358,8.507129,17.381414,16.676420,-105.819489,-1306.302246,3.317559
0.020000,11.737902,8.471228,17.677058,14.782212,-94.710400,555.454435,3.212850
0.020000,11.471973,8.462632,17.943126,13.303392,-73.940966,1038.471712,3.138005
0.020000,11.228518,8.470237,18.186700,12.178710,-56.234103,885.343157,3.085154
0.020000,11.003081,8.487318,18.412783,11.304122,-43.729396,625.235343,3.048749
0.020000,10.792367,8.509628,18.624675,10.594596,-35.476331,412.653249,3.025135
0.020000,10.594108,8.534292,18.824463,9.989389,-30.260355,260.798809,3.012001
0.020000,10.406846,8.559213,19.013375,9.445621,-27.188401,153.597670,3.007986
0.020000,10.229777,8.582740,19.192001,8.931280,-25.717049,73.567634,3.012440
0.020000,10.062657,8.603485,19.360403,8.420136,-25.557199,7.992480,3.025290
0.020000,9.893168,8.621847,19.530884,8.524051,5.195769,1537.648381,3.029149
0.020000,9.650466,8.658706,19.776369,12.274227,187.508809,9115.652013,2.950961
0.020000,9.402567,8.718202,20.031307,12.746929,23.635084,-8193.686235,2.859398
0.020000,9.152087,8.805187,20.296461,13.257687,25.537882,95.139885,2.753611
0.020000,8.904555,8.923782,20.570937,13.723778,23.304586,-111.664795,2.634583
0.020000,8.668625,9.075284,20.851322,14.019246,14.773380,-426.560295,2.506092
